,accuracy,dataset_type,task_type
0,0.2802547770700637,train,finetune
1,0.27388535031847133,val,finetune
2,0.27388535031847133,train,eval
3,0.27388535031847133,val,eval
4,0.2356687898089172,train,unlearn
5,0.22929936305732485,val,unlearn
6,0.2484076433121019,train,eval
7,0.22929936305732485,val,eval
8,0.3057324840764331,train,finetune
9,0.3057324840764331,train,eval
10,0.15286624203821655,val,eval
